Gene symbol	No-Peptide-24h	10uM-K99A-24h	100uM-K99A-24h	0-1uM-PCC-24h	10uM-PCC-24h
Ap1b1	19.3155	19.0135	23.614	21.449	25.817500000000006
Aatf	11.384	17.322	27.803	32.6705	32.8905
Gpr141	30.15	19.933	6.2970000000000015	4.7995	2.5839999999999996
Fam122c	0.0	0.0	0.0	0.0	0.0
Fn1	14.538	4.6905	0.602	0.261	0.175
Hmbs	4.3675	5.8905	9.969	10.290999999999999	12.155
Olfr53	0.0	0.0	0.0	0.0	0.0
Eif3d	55.034	110.48850000000002	155.2665	172.077	175.51999999999995
Gm13289	0.0	0.0	0.0	0.0	0.0
Chrna5	0.0	0.0	0.019	0.0	0.0
Gigyf1	33.6135	31.408	27.8215	29.9685	30.727000000000004
Tmem176b	55.93	37.907	39.1915	29.629	23.4475
Pde4dip	8.635	12.168	13.21	14.037	13.0095
Crygb	0.0	0.0	0.0	0.0	0.0
Olfr32	0.0	0.0	0.0	0.0	0.0
Fah	3.0595	1.8120000000000005	1.6595	2.1815	1.5659999999999998
Asf1a	10.571	13.0465	18.180999999999997	18.699	19.029
Cdkl5	0.5765	1.8685	1.784	1.4500000000000002	1.3230000000000002
Ldha	122.012	127.10700000000001	207.7645	235.42900000000003	319.9395
Mbip	6.796	7.88	12.2765	12.653	10.5065
Palm2	0.0	0.0	0.0025	0.0075	0.0
Pla2g2c	0.0	0.0	0.0	0.0	0.0
Eif4g1	63.0445	87.56450000000002	127.505	141.2845	151.54149999999996
Dnttip2	24.4085	36.4775	59.17099999999999	67.227	71.869
Tceal6	0.0	0.0	0.0	0.0	0.0
Zfp322a	4.507	5.2974999999999985	5.724	6.2245	5.7715
Hoxb2	0.0	0.10400000000000001	0.0525	0.0385	0.0
Amz1	2.6025	1.998	1.9205	2.211	3.0145
Meaf6	16.552	21.590999999999998	25.0285	23.933000000000003	24.279
Bnc2	0.0	0.0285	0.004	0.0	0.0
Krtap1-4	0.0	0.0	0.0	0.021	0.0
Defb18	0.0	0.0	0.0	0.0	0.0
Hspd1	13.57	32.9625	65.7405	76.66250000000002	94.9395
Vmn2r23	0.0	0.0	0.0	0.0	0.0
Rpl7	100.553	187.62400000000002	223.43	213.356	242.85
Rhox3e	0.0	0.0	0.0805	0.0	0.0
Cfc1	0.0	0.0	0.0	0.0	0.0
F830016B08Rik	0.1765	0.1355	0.5285	0.9065	0.879
Fam207a	13.7785	15.6465	19.3355	19.923	22.776999999999997
Lclat1	4.4435	5.8135	7.278	7.902000000000001	8.2835
Gnpda1	12.451	9.64	8.610999999999999	8.0555	8.453
Alx1	0.0	0.0245	0.0	0.0	0.0075
Gna13	35.6405	36.3835	36.568000000000005	38.1995	38.9835
Vma21	2.4595	2.8785	3.9355	3.895	3.9739999999999998
Snx20	65.768	38.774	34.9655	31.4925	32.324
Gm3750	0.0	0.0	0.0	0.0	0.0
Fjx1	0.1705	0.3405	0.5075	1.1645	0.6165
Olfr808	0.0	0.0	0.0	0.0	0.0
Olfr11	0.0	0.0	0.0	0.0	0.0
Bean1	0.0	0.0145	0.0	0.0	0.0
Gm815	0.0	0.0	0.0	0.0	0.0
Usp33	13.152	13.7925	12.6225	12.9905	11.8765
Nradd	3.247	1.391	1.0959999999999999	1.0490000000000002	0.758
Wnt7b	0.1885	0.0	0.0	0.0	0.0055000000000000005
Svop	0.0545	0.0	0.0	0.033	0.0175
Pcdhgc4	2.6695	4.6285	4.5905000000000005	4.2095	4.6115
Noc4l	10.582999999999998	16.4205	35.93949999999999	42.785	52.1715
