gene symbol	pc1	mouse_spleen_and_lymph_nodes_th0_cells	mouse_spleen_and_lymph_nodes_th17_cells	mouse_spleen_and_lymph_nodes_exfoxp3th17_cells	mouse_spleen_and_lymph_nodestreg_cells
eif3e	0.00365377759608275	167.55749999999944	13.547499999999673	307.9974999999995	-489.1025000000004
eif3e	0.00365377759608275	-6.769999999999982	-130.1800000000003	744.8699999999994	-607.9200000000001
eif3g	0.0048308710017914746	-132.7125000000001	258.2774999999999	-35.8425000000002	-89.72250000000008
eif3i	0.005579779764813342	210.8149999999996	-106.16500000000042	224.98499999999967	-329.6350000000007
eif3i	0.005579779764813342	162.32500000000027	-4.904999999999745	45.57500000000027	-202.9949999999999
eif3l	0.0035584629610119437	67.05999999999995	-39.91000000000008	152.7099999999998	-179.86000000000013
eif3l	0.0035584629610119437	1.3509500000000045	-1.5211499999999987	-7.888950000000001	8.059150000000002
eif3l	0.0035584629610119437	1.9033249999999988	-0.233765	0.4354749999999985	-2.1050350000000018
eif4g1	0.00452795705942239	42.161749999999984	30.614749999999958	-122.52025000000003	49.74374999999998
eif4g1	0.00452795705942239	-45.218374999999995	77.85352499999996	-24.557774999999992	-8.07737499999999
eif4g1	0.00452795705942239	-2.068092499999999	2.5682074999999998	-7.9223225	7.422207499999999
eif4h	0.004818400047310103	87.05249999999978	-75.5775000000001	-72.02750000000015	60.55249999999978
eif4h	0.004818400047310103	123.13250000000016	-41.47749999999951	-274.7674999999995	193.11250000000018
eif4h	0.004818400047310103	0.38983999999999863	3.8245199999999997	-5.1679200000000005	0.9535599999999986
eif4h	0.004818400047310103	8.001375000000003	-1.1725249999999985	-2.974224999999999	-3.8546249999999986
eif4h	0.004818400047310103	19.825624999999995	-20.392875000000004	-6.6276750000000035	7.194925000000005
eif4h	0.004818400047310103	3.499500000000012	-29.379500000000007	-8.720500000000015	34.60050000000001
eif6	0.004276608964311358	-29.581249999999955	146.69775000000004	-162.02124999999995	44.904750000000035
eif6	0.004276608964311358	-14.936575000000001	11.350524999999998	-4.621875000000003	8.207924999999996
elane	-0.002935055695929853	-2.0012274999999997	-2.4018075000000003	-1.1727575000000003	5.5757925
emg1	0.0035249659789446186	437.3775000000003	-122.59249999999997	-204.95249999999987	-109.83249999999998
emilin2	-0.0027117552382673648	-19.5120775	21.8805725	-20.8006675	18.4321725
emp3	-0.003164981905760646	965.5082500000001	-836.2647499999999	-324.89175	195.64824999999996
eprs	0.004902638652411895	-79.62049999999999	177.32550000000003	-121.71549999999996	24.010500000000036
eprs	0.004902638652411895	-0.0347325000000005	2.498167500000001	-2.3885024999999995	-0.07493249999999918
eprs	0.004902638652411895	-50.73999999999995	163.60000000000002	-144.79999999999995	31.940000000000055
eprs	0.004902638652411895	-88.44824999999997	183.37275000000005	-137.20324999999997	42.27875
etf1	0.0038409941813379134	-13.10754999999999	14.007450000000006	-18.103349999999992	17.203450000000004
etf1	0.0038409941813379134	-7.125999999999976	18.553000000000054	-64.01599999999996	52.589
etf1	0.0038409941813379134	-132.47549999999995	114.40650000000005	-1.9204999999999472	19.98950000000002
etf1	0.0038409941813379134	-1.2506249999999999	-0.18162499999999993	1.1901150000000005	0.2421350000000002
etf1	0.0038409941813379134	-0.11939999999999884	0.6578999999999997	0.7445000000000004	-1.2829999999999995
etf1	0.0038409941813379134	-113.411	127.882	-47.110000000000014	32.63900000000001
evi2b	-0.003001612143225109	119.09750000000003	-47.658500000000004	38.02050000000003	-109.45949999999999
fam101b	-0.0031728516752831354	1.6811250000000086	-33.41567499999999	120.92212500000002	-89.18757499999998
fam101b	-0.0031728516752831354	-1.4499675000000014	-5.031867500000001	14.659932499999998	-8.1780975
fam101b	-0.0031728516752831354	6.8492999999999995	-61.0947	166.5223	-112.27690000000001
fcer1g	-0.014153555474272125	0.9183409999999999	3.572690999999999	-4.346803	-0.14422900000000016
fes	-0.002563417210398423	-11.14127	16.296709999999997	-11.60965	6.45421
fes	-0.002563417210398423	-7.902424999999999	10.017275000000001	-9.432625	7.317775000000001
fkbp1a	0.005195820577880912	-451.3377499999998	929.38925	-491.82075	13.769250000000056
fkbp1a	0.005195820577880912	-2.4667774999999983	-3.3662174999999994	-0.9938975000000001	6.8268925
fkbp1a	0.005195820577880912	-440.0150000000001	845.4549999999999	-796.0550000000003	390.6149999999998
fkbp1a	0.005195820577880912	-431.39250000000015	818.4374999999998	-554.7125000000001	167.66750000000002
fkbp1a	0.005195820577880912	-684.1424999999999	1231.0575	-1028.0225	481.1075000000001
fkbp4	0.005440167501697792	16.289875000000023	16.36587499999999	-53.175625	20.519875000000013
fkbp4	0.005440167501697792	4.357144999999999	-0.581995	-3.914585	0.13943499999999975
fpr1	-0.0037929795463287172	-2.2635224999999997	-0.9975624999999995	-1.4471924999999994	4.708277500000001
ftsj3	0.0038910663013494045	9.54079999999999	26.015899999999988	-37.17020000000001	1.6134999999999877
fxyd5	-0.009109290240254123	120.95499999999993	242.10500000000002	-311.6850000000002	-51.375
fyb	-0.004224952735877697	230.0250000000001	-737.615	1201.435	-693.845
g3bp1	0.004279770120763061	75.81799999999987	132.188	-370.29399999999987	162.2879999999999
g3bp1	0.004279770120763061	-7.999199999999995	4.052600000000005	3.640900000000002	0.30570000000000164
gar1	0.003456853326170374	-11.667749999999955	38.92024999999995	-187.16475000000005	159.91224999999997
gars	0.006813973651325893	-136.11850000000004	244.90949999999987	-130.83050000000003	22.039499999999975
