Gene symbol	Control1	Control2	Anergic1	Anergic2
Fxr1	89.6	128.6	83.3	155.0
Gramd3	276.9	129.9	64.5	73.7
2410018L13Rik	16.8	4.6	3.9	3.2
Ttc1	91.9	165.4	57.0	97.8
Commd9	267.0	440.9	280.5	562.9
Aldoa	2939.7	5230.4	4077.6	3401.6
Reg3b	52.0	176.7	37.6	84.2
Asl	190.4	215.2	217.0	314.0
Dsp	2.9	2.5	12.6	11.1
	71.1	114.3	86.7	49.0
Sf1	79.3	208.1	124.6	168.5
Wdr81	2121.8	2093.1	1421.7	1428.5
Dad1	28.6	15.9	14.0	23.2
Gm5081 /// Prps1	141.1	96.8	116.7	78.5
Mtx1	540.5	515.3	443.8	652.6
Lat2	43.2	78.1	38.3	91.5
Adrb3	6.7	6.9	2.5	3.6
Bmp2	57.4	73.6	33.1	77.1
Gnao1	70.7	165.5	43.1	135.6
Nfkbiz	11.3	53.3	61.5	64.4
Cftr	5.3	28.5	3.0	5.6
	40.0	40.5	27.9	17.6
2410022L05Rik	66.1	51.7	26.4	61.9
Tnxb	148.9	310.9	113.4	157.4
Ufm1	46.9	46.3	39.8	86.8
Nhsl2	44.9	82.6	32.4	55.6
Mrpl2	142.6	90.9	91.0	99.1
Eif4e2	232.4	285.8	237.9	206.9
Numb	308.5	234.9	349.9	252.4
	1908.8	3843.6	2313.2	4140.0
Lsp1	4919.6	3819.9	6908.4	5596.1
	41.8	44.0	58.8	105.9
Serpinf2	659.8	706.9	451.9	720.5
Pnmt	99.7	63.2	49.5	71.8
Akr1b7	30.4	28.9	13.0	24.8
	24.6	24.6	19.6	38.3
Smarcad1	171.8	165.3	174.0	169.5
Psmc5	65.3	56.9	28.2	13.9
	6.5	38.1	27.4	22.0
Psmb1	43.2	121.1	80.8	128.0
Apoa2	24.2	43.0	19.2	24.9
Smg5	13.8	16.9	16.3	19.0
P4hb	361.1	1011.0	606.6	870.5
Zfp622	102.5	95.3	59.3	91.6
3110079O15Rik	127.2	158.1	80.2	123.9
	82.0	137.7	126.5	174.7
	40.1	31.9	25.0	37.2
Mki67	230.7	261.9	175.5	322.5
A130022J15Rik	34.1	27.8	14.6	41.4
Ddx24	74.4	212.5	69.9	248.5
	137.6	242.0	191.1	298.3
Sh3bgr	141.2	20.1	176.8	185.2
Kpnb1	22.9	19.6	8.6	30.1
Rnf220	55.0	107.3	35.5	58.0
Psme2 /// Psme2b-ps	10.6	41.3	56.3	25.3
Sec23b	20.3	35.4	69.6	147.2
Rnf103	16.3	17.8	2.7	6.3
	883.8	1299.5	528.1	1341.7
Cwf19l1	27.6	70.4	56.0	8.9
Hs3st3a1	46.8	89.6	54.3	52.7
	62.5	57.7	50.3	62.2
Ldhb	7.7	9.1	7.5	8.8
Sorbs1	88.5	163.3	61.7	134.9
Alox12e	99.7	152.5	105.6	98.6
	53.5	34.1	30.5	50.5
Ift46	309.1	493.6	412.6	349.5
Sugp2	47.3	55.5	22.5	43.4
Mcart1	357.7	197.5	230.6	262.0
	1.8	1.8	7.9	1.3
Gdpd5	44.1	62.0	24.5	43.5
Slc38a2	11.8	19.7	7.6	25.6
	108.7	16.3	51.9	46.6
Aldh1a1	93.8	110.8	48.2	123.0
	30.1	5.3	7.9	1.8
	25.5	3.9	5.0	7.3
Lrrn1	1.5	1.4	0.4	1.0
Dynll2	243.0	279.6	267.8	298.8
	169.5	319.0	130.5	257.1
Mfap4	97.2	40.4	19.2	75.0
C330007P06Rik	83.6	97.9	83.5	78.4
Prkcz	375.9	410.5	262.8	388.5
Smarcd2	518.2	637.7	402.1	574.0
Entpd6	291.3	425.1	213.8	519.7
	143.4	469.7	187.8	605.5
Ccr5	124.0	310.0	380.2	463.3
Capg	282.2	444.4	444.2	486.1
Hmgcl	205.6	241.6	175.5	256.9
Btk	68.0	42.3	35.7	77.1
	1.8	1.7	1.6	2.4
Heatr2	179.7	84.8	100.4	124.0
2810417H13Rik	60.7	37.7	17.9	48.0
Pgd	34.6	114.7	68.2	198.8
Gm9790 /// Higd1a	5.0	3.9	10.4	7.7
Scin	39.2	25.0	7.6	41.0
Cpt2	10.0	8.5	6.1	11.3
Tmem41b	6.2	2.5	8.6	1.7
Bag3	1137.7	864.6	914.4	973.1
Flg	9.9	8.9	1.1	2.0
Ptk2	69.0	57.8	62.0	53.1
Rnh1	311.0	299.5	380.8	419.6
Col3a1	8.8	5.5	10.5	7.3
Ktn1	8.1	27.9	16.5	41.0
Gpx5	111.9	98.9	56.7	83.6
Pdyn	59.4	120.3	116.4	234.2
Lrpap1	75.4	73.4	42.4	35.4
Crat	34.5	26.6	25.2	37.6
Diap1	3933.1	3793.5	2886.8	2260.3
Wbp2	31.0	59.5	76.4	38.5
Ppm1m	30.8	23.6	23.7	27.0
6330403K07Rik	47.9	54.9	38.2	49.7
Pias3	476.7	447.3	364.1	250.2
Got2	1242.0	1495.3	1365.2	1720.3
Bcan	15.6	40.7	11.9	30.0
Aldh2	6.3	2.8	7.7	5.5
Ndrg4	239.7	164.6	141.7	156.7
	9.1	7.2	5.3	6.9
	36.8	5.1	25.0	61.7
Csnk1d	129.6	240.8	143.2	271.5
	114.0	174.4	56.0	125.7
Rsl1d1	278.9	323.1	148.3	241.0
Lig1	97.7	148.8	38.7	120.0
Cdk5rap3	298.1	309.0	142.1	240.5
Immt	806.8	1345.2	788.4	1476.9
Sipa1	207.7	233.4	172.6	230.6
	8.6	23.8	32.0	35.9
Msh2	199.4	188.7	184.5	248.6
Atf2	35.7	34.7	29.8	64.7
Rhou	25.0	20.2	14.1	22.2
Cwf19l1	13.1	0.9	8.6	2.9
Mrpl48	580.6	581.2	678.7	553.4
Tax1bp3	283.0	616.9	544.0	781.0
Ckmt2	64.5	113.3	33.3	96.1
Foxc2	13.7	42.8	11.4	31.3
	77.0	61.5	63.2	83.1
Cryge	167.5	218.6	87.6	212.9
Crybb2	408.0	1096.4	399.7	974.4
	170.3	285.1	161.1	252.4
Bcl2l10	60.5	194.2	96.1	145.3
	39.8	40.4	36.4	41.2
Thbd	5.0	10.9	5.0	11.4
Fmn1	14.7	53.0	17.0	25.4
	17.5	3.9	12.2	9.5
Snrpb2	358.5	329.1	357.0	239.0
Pigq	22.0	203.4	57.2	153.3
Miip	55.6	107.1	63.9	47.2
Cox18	9.5	50.4	30.4	14.3
Selenbp1 /// Selenbp2	491.2	904.0	452.6	803.3
Galm	329.1	719.4	363.7	430.0
Pkm2	6279.0	3720.0	3629.5	1874.4
D2Wsu81e	495.8	316.2	246.7	209.3
Antxr2	66.4	83.3	42.6	103.0
Vav2	47.0	26.1	60.9	63.2
Miip	325.5	685.2	301.6	568.5
Npy2r	139.8	282.5	86.6	227.8
Galm	63.0	123.9	17.0	39.2
Scamp2	222.3	281.2	221.5	254.7
Slc4a7	47.6	9.8	28.3	42.9
Muc13	267.6	376.9	208.2	284.4
	8.2	9.2	2.8	12.6
Pld4	26.3	4.1	13.6	5.0
Cyp4b1 /// Gm12839	23.8	53.6	2.5	39.5
	128.2	173.9	87.8	152.1
Nt5c3l	8.6	11.8	2.1	3.5
Phf7	60.2	58.9	77.9	27.0
Arfgef1	39.6	11.0	33.1	5.4
Gdpd5	163.1	209.7	141.6	246.9
Fbxo6	89.6	32.7	35.1	71.6
Svs6	14.7	1.3	1.6	0.2
Ccs	16.9	40.7	2.0	8.2
Ptpn5	43.5	11.4	8.8	59.0
Snapc3	69.2	66.1	34.8	78.9
Serf2	223.1	213.9	249.5	292.6
Prm3	52.7	43.9	35.7	75.5
Mtdh	887.9	1230.0	1303.4	1560.1
Cyp4f13	42.8	52.4	82.2	55.0
Usp14	9.9	10.6	11.5	11.1
Lig3	9.7	25.9	2.5	10.2
Ppp2r4	116.5	145.9	141.1	129.2
Adam2	6.0	1.4	1.6	5.1
Adam1a	16.4	6.8	23.2	19.2
	15.9	39.4	6.3	12.0
Dusp9	116.7	143.5	21.4	162.3
Mprip	24.0	19.6	138.6	53.4
Rbm14	37.5	50.2	22.9	50.3
Emb	16.4	50.0	11.6	101.2
Hes5	59.6	73.4	15.4	22.6
Cyp24a1	34.2	15.6	35.9	40.9
Umps	104.7	45.1	4.8	29.7
	8.3	9.5	14.7	61.2
Tsc1	14.1	10.4	19.4	11.8
Grik5	211.4	554.9	65.2	432.4
Mpeg1	2.0	2.4	14.3	15.9
Gria2	10.5	2.8	3.0	6.8
Scd2	1848.4	2098.2	1429.4	2741.7
Sord	46.6	40.3	9.0	68.4
Esyt1	12.7	21.4	8.2	13.6
Kctd17	104.2	78.0	55.7	88.1
	1027.4	424.0	832.0	807.4
Map2k1	8.7	8.4	5.6	29.6
Il2 /// Ntan1	67.1	47.4	51.9	58.6
	44.3	44.5	42.0	66.3
Actr10	8.1	46.6	27.5	31.3
Trim30a	5.1	5.8	2.0	12.5
Kcnab1	15.0	17.6	16.9	39.9
Cfl2	22.3	71.6	40.5	34.0
Tln1	3605.8	4547.8	3085.7	4287.2
Ankzf1	3.5	3.1	6.5	4.1
Sf3b2	1142.4	712.2	853.5	555.5
Ip6k1	143.4	130.2	98.5	105.7
	133.0	184.6	84.5	201.1
	347.1	660.1	375.0	489.0
Gas7	64.9	80.2	72.1	47.8
Pole3	15.2	6.5	14.1	10.7
Cdh3	107.2	120.7	64.7	99.3
Pigu	14.8	7.1	29.5	20.5
Cd2bp2	54.7	200.3	99.9	225.6
Tcta	131.1	186.7	69.7	133.6
Mylpf	6.6	4.5	2.7	4.4
Mcm5	39.3	68.7	73.2	74.6
Col9a3	78.3	216.0	31.3	112.2
Tapbp	658.8	1034.8	805.1	949.1
	29.3	203.3	107.3	179.0
Krt33b	61.0	118.0	25.6	106.6
Timp1	2.0	38.6	13.0	36.5
Spt1	3.9	31.3	4.9	57.8
Sh3rf1	5.0	3.9	0.9	2.4
Vps45	19.2	93.2	14.6	29.8
Rprd1a	10.1	4.7	8.5	8.2
Capn2	30.3	4.5	3.7	6.9
Vamp7	130.5	72.4	52.2	39.3
Med20	161.2	318.5	217.4	251.8
Ftsj3	136.7	150.8	86.0	55.4
Derl2	1.0	9.2	11.3	15.4
Plac1	10.5	14.1	6.3	13.1
Nacc2	7.5	6.9	4.7	7.3
1500003O03Rik	11.7	2.5	15.5	12.9
	3.8	2.9	6.9	2.5
Krt10	60.2	49.2	8.7	8.0
Fdxr	120.1	308.5	179.2	370.1
Slc19a1	362.6	327.3	205.2	308.5
Rusc1	72.0	65.1	26.9	34.3
Ubc	3141.5	2354.4	3514.8	3448.5
Rps6ka3	17.3	34.5	28.7	35.6
Pa2g4	41.6	56.8	54.3	74.6
	49.2	30.6	6.5	21.8
Ppfibp2	1.9	1.6	0.7	4.7
Sult1a1	28.4	44.8	7.6	27.1
Sac3d1	53.9	48.9	39.9	21.3
	9.6	7.4	5.2	10.6
Sema4b	246.4	335.9	343.4	326.0
2010111I01Rik	1348.1	2053.2	1102.9	2100.0
Slc38a2	24.1	12.2	4.9	1.1
	46.2	39.6	17.0	121.2
Txk	18.1	14.2	8.5	10.4
Cbx6	749.8	1152.2	1214.3	1320.0
2310044H10Rik	113.0	86.5	78.5	81.3
Dhx30	31.8	43.9	31.9	42.6
Rab2a	4.2	10.9	3.2	6.3
Prrg2	25.5	37.0	85.9	36.4
Prkrir	307.9	456.8	226.9	464.8
Etfb	184.0	377.6	175.9	247.5
Pgs1	113.4	151.5	223.2	77.8
Clec16a	7.0	3.5	5.6	9.1
Snta1	121.4	73.5	37.5	233.0
Apom	11.8	9.5	39.4	5.5
	47.4	10.4	6.4	46.3
Man2b1	194.7	476.0	191.8	488.8
	35.7	72.0	7.5	8.2
Crhr2	57.7	128.9	15.3	80.1
Exosc5	1835.1	1821.3	1547.4	1738.2
Sash1	16.5	14.4	11.8	18.6
Msh3	36.1	56.4	6.2	9.1
Srpx	3.2	15.4	5.2	11.2
Stk16	69.4	21.7	45.9	11.6
Acox1	12.0	83.1	29.7	55.0
Hnf1b	98.0	64.2	36.3	229.4
Ide	136.3	110.1	62.6	90.2
Samhd1	176.5	133.6	201.8	152.0
Macrod2	2.7	4.8	3.7	5.2
Sct	17.7	18.9	14.5	20.6
Actn3	185.2	225.9	133.8	170.0
2900092E17Rik	746.2	868.1	602.2	963.4
Nrsn1	41.2	15.6	7.5	14.7
Pde6b	64.6	27.5	69.4	36.5
Phgdh	168.5	179.3	142.9	166.1
Hist1h2bp	440.7	581.6	248.8	535.6
Fbn1	8.7	7.9	6.0	10.8
Fgfr2	4.8	19.0	3.5	4.9
Nedd4	45.9	49.9	41.7	61.3
Cd68	11.1	6.5	6.0	3.1
Cyp2d9	38.7	79.0	67.6	136.1
Dad1	9.8	13.7	2.3	9.9
Gapdh /// Gm10293 /// Gm16374 /// Gm2451 /// Gm2606 /// Gm3200 /// Gm4609 /// LOC100046480	374.8	209.4	215.1	171.9
Gm5879 /// Rpl3	275.4	530.4	226.9	439.1
	732.5	772.3	779.8	1002.4
	30.3	39.2	33.1	72.4
Nedd8	118.6	140.3	117.6	115.9
Fcer1g	43.0	22.3	16.8	14.7
Kcnab2	389.9	383.1	274.2	304.5
Nt5dc3	51.0	26.0	20.0	28.2
Galm	80.7	61.8	49.1	61.9
Poldip3	11.1	36.0	13.4	4.4
Mep1b	65.6	54.6	75.4	212.8
Reg3g	7.2	28.7	3.7	11.4
P4ha2	147.0	268.0	92.7	112.6
Gcdh	577.6	713.2	415.7	827.9
Lmbr1l	44.5	116.3	49.3	102.0
Krt18	2.1	8.1	2.5	2.7
Chga	22.9	30.7	19.9	32.5
Itgb7	222.3	276.3	60.7	60.9
Pkp2	11.4	6.0	13.2	26.0
	3.7	8.0	11.8	7.3
Cuzd1	8.9	13.6	15.2	12.7
Imp4	8.3	11.1	6.4	17.7
	77.3	122.6	51.0	108.6
Mcpt8	15.8	57.6	31.4	69.1
Agr2	4.2	1.6	1.8	4.1
Kdelr2	60.6	67.8	58.0	52.4
Irf7	202.7	367.4	177.7	202.4
Ambra1	19.0	2.2	1.7	11.1
Notch1	41.1	121.6	17.5	120.0
Prss32	353.0	473.0	284.0	374.9
Socs3	754.6	204.3	398.6	221.5
Clcn7	29.9	20.7	15.6	27.6
Vpreb3	6.9	12.1	5.7	5.5
Ptprr	7.7	3.5	0.9	1.6
	90.5	37.7	35.5	47.1
Fam105a	88.5	83.5	31.5	152.8
	35.3	19.2	8.0	14.2
Tmbim1	21.4	151.0	91.7	150.2
Krt32	51.6	80.0	36.4	62.9
Sdc2	9.5	14.3	16.1	63.9
Ly6d	15.9	40.2	20.2	18.6
Fdps	67.8	33.1	5.7	42.1
Itgb5	194.6	162.5	141.1	258.0
Slc16a2	13.0	54.0	30.3	18.1
Dnajb13	26.5	76.0	60.0	130.4
Blmh	116.1	99.7	88.7	63.5
Eif4e	50.0	78.0	16.3	37.8
Atp2a1	8.5	81.8	16.4	121.7
Aplp2	9.8	8.1	16.1	61.5
Otub1	65.8	46.4	73.3	44.7
Tm9sf3	163.0	196.5	95.9	185.6
Ung	669.2	848.2	576.2	844.5
Stard3	84.2	117.0	113.8	159.9
Rps4x	10.3	10.0	10.5	13.4
Rbbp9	20.8	11.5	1.8	18.3
Mesdc2	152.5	55.1	135.3	81.3
Rad51	35.2	18.0	14.6	2.8
Slc38a2	23.8	28.5	29.8	18.2
Cxcl12	7.8	5.8	2.8	10.6
Prpf19	79.0	169.0	62.9	38.4
Nelf	129.9	201.9	353.9	347.2
Scg3	100.6	32.0	17.2	23.9
Shkbp1	263.2	125.7	95.7	337.4
4933407C03Rik	9.1	18.2	4.3	13.0
	1.8	1.7	1.1	2.8
	3.9	21.0	32.6	4.3
	48.5	98.0	29.2	33.4
Rtkn	79.4	42.3	23.7	103.3
Rps4x	30.3	45.3	33.9	30.7
Myo6	86.5	164.9	91.7	233.8
Gss	278.7	284.4	179.4	362.3
	954.3	1038.6	679.5	1125.2
Bphl	25.5	51.3	38.2	49.3
Nkain1	11.5	15.8	10.0	46.1
Zcchc6	269.9	267.2	123.4	172.4
Agap1	156.7	162.1	112.7	218.8
Plekha1	73.2	110.1	37.7	53.0
Fgfr3	138.5	91.1	136.9	30.7
Cyb5r1	35.7	99.1	17.6	14.3
Scn1a	43.4	78.7	66.3	128.5
Cwf19l1	684.3	361.2	410.4	278.1
	17.2	122.4	30.4	163.2
Rprm	77.1	16.6	21.3	17.2
Fmo5	4.9	12.7	5.5	20.4
Akirin1	186.7	255.6	135.0	226.1
Zp2	80.3	152.1	85.4	110.2
Gyg	440.4	735.4	664.4	644.1
Lamb1	105.1	33.3	57.9	94.1
Bub1	2.9	4.2	2.7	5.8
Klf17	195.3	258.3	170.9	300.3
	102.7	104.0	51.0	101.5
Pdc	94.9	274.2	92.1	246.7
Crygd	64.8	56.1	125.4	37.4
Smyd2	37.0	5.9	2.8	27.4
	62.3	34.9	51.9	36.1
Ctsb	28.8	73.0	16.6	119.2
Stxbp2	132.6	373.0	137.8	302.8
Repin1	102.9	280.6	89.7	208.0
Lsr	18.9	81.5	5.8	19.0
Upf3b	267.5	374.5	294.8	289.2
C1qb	86.1	260.7	174.3	347.1
Polg2	96.1	94.3	41.3	73.1
Tap1	107.2	192.8	77.4	179.3
Cct6a	571.0	513.0	460.4	348.1
Ndufb10	14.6	19.6	11.9	20.3
Fdps	154.7	48.7	144.1	47.7
Tyro3	20.6	66.6	30.8	35.9
Eif3l	44.8	23.0	7.7	30.4
Slc39a4	1361.7	1937.9	1042.4	1840.3
Slc44a4	11.5	7.9	5.0	39.0
Fcgbp	76.4	209.8	128.8	185.3
Clca3	206.1	288.0	189.3	309.3
Pcx	108.3	145.7	76.2	65.5
Fgl2	5.1	15.2	22.2	8.0
	245.7	288.0	202.8	259.6
Tmem168	46.6	5.9	12.8	21.1
	1080.6	1359.3	916.0	1387.9
	53.6	64.5	19.0	182.6
Maoa	1.7	4.6	1.4	2.0
	7.8	4.9	11.9	7.6
Bglap /// Bglap-rs1 /// Bglap2	155.4	178.0	31.9	205.3
Cav3	4.8	22.3	20.5	9.8
Tjp1	8.8	2.9	4.1	2.5
Pebp1	928.2	992.3	750.7	839.9
Pcp4	5.6	9.6	2.2	8.3
2310016M24Rik	247.8	261.9	182.5	197.3
Folr1	58.1	29.7	26.7	36.8
Prl7a2	58.2	46.3	34.0	42.7
Phf7	70.8	98.6	48.0	66.5
Klk1b9	15.1	7.6	9.3	13.2
	8.1	8.8	4.1	5.6
Polk	13.2	30.0	15.0	20.8
Cryab	124.9	58.7	93.5	119.5
Lyz2	5.0	8.7	7.0	5.1
Zfp771	23.9	20.4	28.7	36.7
	678.7	1110.2	573.6	955.3
Reg1	24.0	5.4	10.9	5.9
Galnt3	280.5	326.3	364.1	426.5
Cnot7	256.8	178.2	124.3	37.5
Cldn3	14.7	6.8	6.6	12.9
Dgat1	107.2	76.1	38.0	71.9
Gm10063 /// Rps12	154.7	229.9	119.1	268.5
	10.2	56.2	52.0	17.1
Cox6c	65.0	70.6	32.2	88.3
	53.2	85.1	17.6	24.7
Barx1	85.1	246.8	59.7	367.2
	76.1	137.3	62.8	92.8
Ndufb7	67.5	25.3	8.2	38.8
Lor	227.6	237.9	102.7	188.6
Tnnc2	99.6	151.3	128.4	191.6
	197.0	233.2	224.9	259.3
Ndufv2	242.2	211.3	315.8	268.2
Krt84	92.0	168.9	106.2	188.4
Slpi	9.5	24.3	16.2	10.6
	262.4	223.1	68.2	230.7
Aldh3a1	19.7	28.2	18.5	38.6
Mapre3	93.0	24.5	171.0	126.8
Slpi	162.6	236.9	84.3	170.6
	63.8	49.6	5.7	9.7
LOC100045766 /// LOC100503669 /// Rps29	45.9	145.7	42.5	56.0
Acp6	79.8	78.1	55.6	76.5
Alg3	215.1	169.5	177.3	127.5
	1260.4	1660.1	1216.6	2050.8
Cdc34	21.5	42.5	39.7	28.4
S100a10	176.0	265.0	115.7	245.7
Akr1b3	216.8	564.5	265.3	282.0
	37.1	20.7	13.5	43.0
Atp5d	499.4	429.4	627.7	603.1
D17H6S56E-5	10.8	13.8	2.2	7.0
1110059E24Rik	8.9	5.8	5.5	9.7
H2-DMa	206.8	106.7	78.2	144.8
Bgn	197.5	229.9	149.7	203.6
Cpa3	61.7	150.3	27.8	112.8
	32.1	7.9	41.8	41.3
Heatr7a	508.5	711.1	569.4	444.9
Ccs	74.0	62.7	52.3	56.3
Rprm	8.3	4.7	3.5	5.0
	171.2	124.1	125.0	129.3
Igfbpl1	15.6	55.7	17.1	25.4
	7.4	4.1	5.1	15.6
Psmg3	789.9	1027.3	591.5	804.3
Ebi3	28.9	31.5	12.4	11.9
Slc25a1	511.2	330.3	334.5	440.3
Gkap1	290.5	365.9	250.3	391.0
Mtmr14	319.8	245.2	173.9	179.0
Sdsl	71.2	67.5	56.4	24.0
Tnc	2.5	3.0	2.0	8.5
	72.0	114.6	28.0	77.9
Glud1	11.3	55.0	34.1	28.4
	253.0	467.7	333.0	757.5
C2	43.7	91.2	39.4	117.6
Seh1l	9.2	8.8	16.2	27.4
	98.5	69.0	52.6	40.4
Mmp9	54.5	31.9	29.3	13.8
	314.3	420.1	198.2	412.3
Ephb6	730.4	754.1	575.3	917.2
Relb	139.6	213.8	213.9	139.2
Sh3bp2	14.3	38.2	15.2	106.7
Myh8	2.1	18.5	32.2	50.7
Krt81	5.4	4.9	18.9	2.1
	16.2	14.3	4.9	3.0
Ssbp4	171.7	25.1	91.8	11.8
Tmem168	42.2	11.5	19.4	35.8
	108.6	293.3	139.2	331.1
Aak1	155.6	298.4	171.7	165.6
	220.6	221.1	243.1	339.8
Ccs	18.8	62.2	66.9	35.9
	490.1	505.6	478.6	610.5
Ccrn4l	11.9	10.4	17.3	23.8
Slc2a4	67.7	54.1	31.5	93.3
	13.4	5.6	3.1	3.3
Mfn1	76.2	169.7	103.4	190.2
Adam5	893.3	1255.4	949.9	851.8
	31.7	130.1	30.0	100.3
C4b	8.0	6.7	3.9	30.2
Ltc4s	4.8	5.5	2.5	4.9
Ift88	592.4	793.9	387.8	889.4
Vps35	35.2	93.7	32.0	72.9
	260.7	193.2	132.6	160.5
Rbm22	6.8	3.7	5.8	6.4
	14.8	20.4	47.5	57.6
	166.5	331.6	128.2	189.2
	117.9	148.2	124.9	102.7
Atxn2	389.3	592.3	1035.3	670.6
Mms19	118.7	133.5	88.0	55.5
Isyna1	11.0	8.5	6.4	10.5
Hoxa4	45.8	60.1	49.9	105.0
	68.3	71.7	62.0	134.3
Gm1060	97.1	194.0	49.6	162.5
2810449G22Rik	47.9	31.6	18.1	16.6
Stk38	14.5	7.5	5.9	8.1
Traip	60.5	147.8	44.1	92.9
Il12rb1	62.4	61.4	13.0	15.3
Zfml	12.4	63.9	21.8	42.4
Cd8b1	9.3	21.9	13.7	19.5
Myb	3.5	7.6	2.7	7.9
	41.9	20.7	26.9	34.5
Nr0b1	53.2	68.0	50.8	66.0
Fkbp10	15.3	12.3	5.3	11.4
Cant1	838.1	822.9	525.4	619.5
Cdca4	5.1	7.3	3.8	5.4
1500001M20Rik	159.7	262.9	113.9	93.0
Atad3a	215.5	171.3	144.9	206.9
2610001J05Rik	55.3	9.8	8.6	10.3
Selk	171.5	223.9	186.7	157.6
Ctla2a	9.9	2.5	1.7	5.1
Ica1	773.5	877.7	441.6	950.5
Nbr1	19.0	51.9	11.5	25.2
Ddx17	1108.8	1545.5	1334.8	808.1
Irf3	35.4	83.6	24.0	10.3
Scamp1	197.6	219.2	249.7	310.1
Efhd2	20.6	20.4	15.4	28.7
S100a14	1119.6	1193.3	747.8	1392.5
Serpinf1	241.8	270.8	48.5	292.6
Tor1b	44.9	61.5	8.6	5.4
	48.0	76.1	57.4	105.4
Mogat2	49.3	28.4	27.1	147.6
Nop56	9.3	18.2	8.4	24.6
	42.7	29.9	30.9	17.7
Fez1	131.9	237.7	150.6	275.1
Mrpl46	33.0	34.3	48.5	60.2
Pag1	2.2	2.0	2.4	2.5
Pppde2	102.7	231.2	206.1	240.7
Pou2af1	11.0	23.3	25.7	30.7
	1311.0	1959.7	1155.5	1809.0
	115.6	48.3	21.6	25.2
Ap2m1	161.2	118.1	172.3	217.9
Tcp1	4.6	5.2	3.6	6.4
Tinf2	78.6	141.6	94.2	148.8
	10.9	64.4	31.5	110.1
Chfr	72.2	28.3	54.7	41.3
Mvp	462.8	482.5	386.1	406.6
Hspb8	9.8	19.6	5.2	6.0
Gpr182	58.6	40.8	27.1	18.0
Igfals	9.2	8.7	7.7	8.2
Fbxo3	36.5	1.2	17.3	23.0
Pcp2	102.4	175.9	76.9	132.5
	12.7	16.8	14.5	29.4
Crisp2	15.1	16.0	6.2	24.7
Tmem214	104.8	85.7	139.4	171.3
Klk1b21	30.2	20.2	10.4	31.5
Hba-a1 /// Hba-a2	204.6	474.6	170.9	411.4
Shmt2	348.3	613.1	460.2	621.2
Col6a1	6.4	5.8	8.7	11.6
Igbp1	368.1	297.4	238.9	226.6
Capg	116.7	147.3	51.4	110.6
Pck2	15.5	46.6	12.9	26.5
Tpd52	112.7	60.9	74.3	79.1
Ppy	233.5	331.3	205.4	329.1
Klhdc4	3.8	265.5	4.8	106.7
Anapc13	364.3	482.3	357.9	525.6
2700078K21Rik	18.8	38.7	31.8	31.9
Rhoc	783.8	1494.1	981.1	1851.4
Cyc1	2009.0	2260.8	1737.6	2548.9
	286.8	267.7	322.9	289.7
Fam96b	8.9	33.7	2.6	65.7
Gast	69.2	61.2	34.6	80.1
Ndufb2	4.0	21.0	3.6	3.7
	11.1	18.6	9.4	5.4
Pglyrp1	4.8	13.2	30.7	23.0
	68.3	97.4	20.9	81.6
Srp14	38.7	116.2	43.0	21.2
Idh3g	36.2	13.0	39.4	19.1
	499.1	497.1	493.3	430.4
Lefty1	13.8	11.0	5.4	8.1
Arrb1	378.2	836.9	698.7	451.6
Traf4	392.1	330.1	382.0	202.6
Col18a1	47.9	41.0	79.2	57.0
Tmed1	165.5	223.6	144.5	348.1
Zfp91	2.7	3.7	2.6	10.2
Dscr3	233.6	722.4	520.4	922.2
C1qtnf1	310.4	429.3	273.4	380.1
Hexa	17.0	20.2	19.4	18.4
Ddx47	835.9	784.1	801.5	646.2
Pdcd6	136.5	94.6	94.6	177.3
Cenpv	13.7	13.8	40.3	24.3
Zscan21	110.0	222.7	119.2	49.9
	148.6	262.3	142.9	161.1
Pdlim4	12.3	14.8	9.4	44.7
Bet1	32.5	12.8	13.4	23.3
Ndufa3	396.6	561.1	435.9	520.5
Uba1	838.3	896.3	759.1	769.5
Rps4x	59.9	73.4	48.5	45.2
Ube2d2	156.7	152.7	153.4	73.9
	220.9	361.7	141.0	233.7
	182.7	248.3	197.2	144.6
Cga	198.3	121.3	134.4	150.4
Pip4k2a	152.3	128.3	291.2	150.7
Csk	133.0	42.0	59.9	73.9
H1fx	239.9	229.7	190.2	276.7
Ager	58.9	81.0	157.3	95.7
Rufy1	375.4	473.7	367.4	305.4
Dtna	211.1	252.1	116.7	391.8
Dtna	16.3	18.0	11.2	17.9
Arl4c	777.1	439.8	294.2	378.9
Arx	51.3	21.1	28.0	19.9
Fes	26.3	27.3	23.6	21.9
Ufm1	987.6	380.8	575.8	402.0
Nr2c1	72.4	199.9	49.4	145.8
Mettl5	406.5	330.7	334.0	239.3
Pcsk5	8.8	10.3	14.8	13.2
Pcsk5	91.5	154.6	60.0	175.4
Pcsk5	179.4	195.1	90.4	182.9
Cebpg	101.5	136.1	225.2	223.1
Sf3a2	4027.1	3837.1	2689.1	3393.8
Sf3a2	1827.4	1991.0	2109.3	1839.1
Cd55 /// Daf2	5.1	10.9	4.7	13.8
Stat5b	511.0	521.0	632.6	577.0
Adcyap1	63.9	22.3	40.2	16.7
Zbtb16	42.1	206.6	63.6	175.0
Zbtb16	115.3	87.1	33.3	84.3
Cd6	16.2	14.1	4533.6	3129.4
Cd6	76.1	91.5	2480.8	1625.1
