Gene symbol	Control1	Control2	Anergic1	Anergic2
Vamp8	6191.6	3083.8	11770.9	11355.5
Fgf9	74.5	76.9	23.1	34.7
D17892	21.4	21.7	11.0	29.0
	12.9	915.8	4.6	814.6
Rrm2	43.6	30.3	18.5	128.4
	4.7	7.8	4.1	15.1
Defa2	20.7	140.4	18.7	95.5
Hspa4	60.0	77.9	13.9	122.8
Hspa4	347.1	736.6	694.7	831.9
Tbx15	3.7	4.2	3.5	4.6
Tbx15	19.6	32.8	5.0	18.1
Gprasp1	21.1	19.5	17.8	26.7
Gprasp1	174.5	333.7	193.0	278.8
Gm9880 /// Tcp10a /// Tcp10b /// Tcp10c	171.0	100.2	62.9	134.1
Gm9880 /// Tcp10b /// Tcp10c	70.8	56.6	15.0	76.7
LOC100046359	266.6	570.9	264.4	418.1
	90.6	88.6	62.1	76.0
Igh-6 /// Igh-VJ558 /// LOC677445	40.1	206.4	134.8	253.8
Syt9	9.1	15.1	5.7	7.5
Syt6	12.7	16.4	13.2	17.1
Syt7	14.4	13.0	27.3	69.3
Casp9	284.0	408.9	178.9	366.9
Casp9	221.0	388.1	155.6	261.5
Casp9	89.6	96.7	64.4	44.9
St6galnac6	363.7	368.0	624.4	653.5
Slc12a5	182.9	201.3	114.4	202.3
Hnrnpa1	110.7	105.8	79.2	74.5
Gabrg1	83.8	117.9	4.5	99.0
Slc39a1	94.9	72.8	69.1	77.7
Dmrt1	12.5	12.8	5.4	17.2
LOC544903	10.7	8.5	7.5	6.7
LOC544903	122.1	183.2	138.8	230.7
LOC100505002	9.5	155.6	22.8	35.0
	34.0	68.9	23.0	58.7
	3333.0	8726.7	2851.6	2994.7
H3f3a	2548.1	2289.7	2395.6	1982.0
Acta1	10.4	7.4	8.7	12.4
St6galnac1	10.6	14.4	6.8	11.6
Rnf112	69.9	146.8	71.9	135.5
Hsf4	16.2	14.9	7.9	11.9
Glra1	525.6	482.6	369.7	463.6
Gnaz	30.6	42.7	22.3	44.0
Klra12 /// Klra13-ps /// Klra18 /// Klra23 /// Klra33 /// Klra4	4.5	3.1	4.7	27.8
Gnao1	35.9	83.1	20.9	36.7
Colq	82.0	163.3	275.4	401.8
Bfsp1	113.5	44.0	56.4	103.7
Mapk8	30.0	33.0	9.6	42.2
Apln	389.6	380.2	179.9	334.3
Vip	11.5	48.8	64.5	56.7
Podxl	28.9	38.4	22.6	30.2
Gli2	61.8	47.0	22.0	33.3
Tyms-ps	52.6	142.0	82.6	186.4
Tyrobp	20.5	99.2	58.7	36.6
Kif3a	140.3	127.4	92.8	121.9
Ttc35	169.3	300.1	379.5	305.2
Son	703.9	751.9	627.5	605.0
Zp3r	4.8	83.7	39.8	8.3
Myl7	20.2	19.9	17.1	16.3
Ift88	1105.1	1733.6	783.7	1208.2
Cbx3	85.9	190.2	268.4	176.9
Ptpn5	251.9	417.2	195.8	274.5
Gal	321.5	394.1	392.1	354.7
Pole3	193.0	246.6	150.9	164.7
Cdh3	229.1	248.9	216.0	249.6
Larp7	463.4	288.8	372.6	291.3
Aebp1	1.8	1.4	1.2	1.6
Aebp1	19.6	74.6	61.4	34.0
Ylpm1	807.2	844.8	877.2	849.2
Mpo	19.7	13.5	4.6	9.9
Mpo	96.5	115.3	78.7	118.5
Melk	6.4	16.7	11.9	16.8
Slc7a6	120.6	202.1	66.0	117.6
Gng2	1319.5	2216.4	2072.4	2068.3
Flg	51.4	85.0	73.7	143.7
Krt4	258.0	406.4	150.5	425.8
Stat5a	2298.0	1740.3	3955.5	4229.3
Stat5a	1235.0	1251.8	2759.8	2605.4
Ercc1	361.9	295.7	256.2	207.0
Sykb	629.6	736.2	406.8	618.5
Sykb	12.6	15.1	5.6	8.1
Ptpro	34.7	50.5	40.0	49.6
Lamc2	103.8	226.2	130.7	186.2
Ppox	233.9	286.3	278.7	226.0
Lepr	43.2	105.3	61.6	122.2
Lepr	45.5	4.5	1.7	22.6
Mdfi	16.5	52.2	6.4	56.4
Mdfi	274.2	302.4	225.1	308.8
Mdfi	25.3	45.4	12.3	25.5
Lpar1	11.4	15.8	21.4	19.2
Orm1	3.8	3.1	20.3	3.8
Orm1 /// Orm2	267.3	249.9	180.6	114.6
Gpr19	172.8	40.3	136.8	142.0
Ank1	117.4	226.6	187.6	172.7
Ank1	325.9	801.2	325.0	635.5
Ank1	34.9	14.5	13.4	18.6
LOC100046166 /// Tbrg4	439.8	474.3	300.0	383.1
Bcat2	223.0	240.5	197.6	182.4
Cdk5	1215.0	708.0	1751.2	1270.4
Sprr1b	3.6	7.4	3.7	2.8
Sprr1b	4016.8	3899.2	3553.5	2977.0
Hyal2	63.0	194.4	54.9	77.3
Acvrl1	220.4	452.0	179.8	477.2
Acvrl1	85.2	45.7	53.2	122.8
Acvrl1	162.5	60.3	128.3	263.8
Hsf1	567.5	516.7	449.7	452.4
Klf1	132.7	322.6	152.2	234.0
Camk2b	236.1	287.4	330.4	298.9
Ptpru	107.5	226.3	97.5	142.7
Snap91	4.9	48.3	7.7	19.8
Glg1	827.6	1062.9	1425.2	1266.9
Napb	58.2	52.2	32.8	55.4
Rad50	487.2	784.2	452.7	913.0
Ctr9	326.7	565.6	366.0	485.5
Polr2j	1820.9	1581.7	1706.2	1276.7
Arf6	427.9	410.3	259.5	277.3
Csn1s2a	9.4	17.2	11.7	12.4
3110043O21Rik	276.5	347.9	184.4	161.8
Gm1673	41.6	18.2	35.5	11.2
Gm1673	476.1	602.8	388.6	549.4
Lyl1	19.1	38.0	10.9	23.3
Lyl1	15.2	73.4	43.9	30.5
Nfya	388.0	625.3	239.8	529.8
Mapk10	81.6	135.3	78.6	78.6
1110036O03Rik	7.0	12.4	28.4	6.6
Enah	28.6	19.3	25.7	8.8
Arrb1	629.0	1008.3	805.1	662.1
St8sia2	48.4	46.7	31.6	43.6
Trim25	1058.6	857.2	578.3	497.4
Ibsp	5.9	7.8	5.5	13.2
Tmem45a	55.9	142.0	103.2	93.3
Dnmt3a	78.0	139.4	168.1	291.5
Col11a1	78.0	179.5	76.4	113.4
Zfp598	1679.9	1555.0	1794.1	1376.9
Ifnar1	372.7	606.6	596.9	906.3
Mmp13	44.9	57.9	27.0	49.9
Ezh1	699.9	1054.7	1786.1	1728.8
Gba	1097.5	1289.3	1322.5	1558.5
Pde7a	1334.1	1293.9	839.0	803.5
Slc16a2	76.8	115.6	78.1	90.4
Ap2a2	1627.9	1457.4	1128.6	1013.0
Hsd11b2	19.9	25.6	19.6	16.8
Fgf1	16.9	24.1	72.4	85.5
Dvl2	429.6	273.5	457.6	589.3
Pam	11.5	13.0	6.4	5.2
Stx3	24.4	15.4	17.4	28.8
Stx3	74.9	37.4	11.8	29.7
Stx3	111.1	93.5	51.9	71.4
Fadd	258.1	204.7	275.8	342.8
Atp4b	11.2	17.9	8.9	18.9
Pde1c	17.4	48.6	10.8	20.2
Rit2	2.7	22.5	7.2	9.1
Nov	24.0	23.6	18.7	24.8
Mfng	1553.5	1060.6	1436.5	1755.1
Rnf19a	1976.9	1671.0	3569.0	3202.7
Sncb	235.1	286.2	274.4	335.1
Hmha1	6607.6	5490.1	6032.3	6208.6
Uchl5	347.1	410.2	397.4	468.3
Asap1	372.4	344.6	419.7	302.5
Gna13	792.6	1296.5	1961.1	1357.6
Furin	1642.4	2297.1	1368.9	1541.0
Chka	305.9	452.0	195.2	258.4
Arf2	83.7	92.2	40.2	160.9
Ovgp1	176.9	321.1	161.9	358.6
Wbp5	1117.4	1045.2	1162.6	786.2
Wbp5	323.4	309.6	270.7	208.9
Trmt2a	921.1	846.2	712.3	668.7
Adam3	24.1	61.9	39.0	59.8
Ccdc56	903.6	1010.3	1408.8	1231.4
Ube2h	665.7	1038.2	1094.3	1469.5
Ube2h	594.7	796.0	975.3	1232.7
Ralgds	1798.8	996.4	2487.8	1814.7
Crem	317.1	433.9	222.3	326.7
LOC100039215 /// Tsnax	1766.0	1521.9	1133.8	1116.7
Eif4g2	797.1	407.7	387.5	336.4
Mobp	4.1	9.1	2.7	5.2
2310016M24Rik	10.0	16.4	7.5	11.8
Sod1	5910.4	2489.6	5551.1	2136.2
Acot7	3092.6	2333.4	6166.0	5770.8
Lta4h	1762.2	2344.9	1861.7	2391.2
Mep1a	10.0	71.6	11.7	58.3
Brd7	363.4	696.6	708.3	646.4
Brd7	15.1	96.5	66.2	83.7
Rbm4	27.4	14.6	8.8	44.3
Rbm4b	393.5	571.1	280.5	670.5
Pea15a	407.0	306.8	741.5	602.0
Hba-x	95.5	64.7	36.8	149.4
Cox6c	6421.6	7077.7	5870.8	5027.0
Gm6265	79.1	46.3	33.0	60.3
Ifngr1	2091.5	2065.3	813.5	366.0
Trim27	1427.4	2046.8	1360.6	1828.6
Pdlim1	93.7	17.2	55.0	27.2
Rcan1	481.1	296.4	464.6	343.3
Eif4b	57.7	43.3	8.8	3.7
Eif4b	4262.0	3716.6	3731.3	3804.0
Eif4b	7.5	11.1	5.8	14.7
Dhx16	646.4	779.1	518.8	653.1
Pafah1b1	835.3	861.8	722.1	780.8
Iqgap1	2102.5	1863.1	4842.0	3565.8
Rangrf	70.7	256.9	193.8	34.0
Ddt	969.1	631.1	2054.2	1323.3
Gnpda1	668.4	789.6	1162.3	1261.3
Igfbp5 /// Tmem119	23.2	34.8	20.1	41.6
Fabp4	64.0	36.8	31.9	35.6
Abce1	913.3	1325.9	618.5	1073.4
Anxa2	7228.2	8654.4	8346.5	9271.9
Nub1	749.3	809.2	1682.9	1235.9
Laptm4b	83.0	98.5	70.3	107.8
Tm9sf2	831.5	688.9	572.3	668.8
Gpi1	161.1	435.2	311.7	175.0
Gpi1	13923.8	19485.6	12028.8	12523.1
Naa10	356.5	431.4	542.0	432.0
Pafah1b3	506.9	660.6	383.1	419.6
Snrpd1	267.2	228.1	150.1	111.5
Impdh2	1429.9	1399.4	618.6	645.7
Clta	2270.3	1855.1	1275.7	1183.7
Clta	33.0	74.7	19.7	112.0
Cstb	4002.7	4050.6	7174.0	7736.1
Snx17	1126.1	1179.9	1003.5	1098.6
Igh-2 /// Igh-VJ558 /// LOC544903	95.4	186.6	79.5	191.2
Anxa4	385.2	861.9	982.9	1155.2
Gm3258 /// Supt4h1	16.7	66.6	40.7	27.7
5730403B10Rik	83.3	91.9	130.7	140.6
5730403B10Rik	196.3	458.4	110.1	521.8
Psme2	1434.4	2366.2	1530.2	1588.9
Immt /// LOC100503260	65.9	67.4	15.3	22.4
Ghitm	2841.1	3007.4	3231.1	3779.0
Tnnt2	45.5	66.0	49.7	57.9
Pigq	561.8	549.2	613.3	626.5
