Distance from Center (cmd=annotatePeaks.pl /data/mm10/External/GSE39756-Th17-AP1-Factors-2012/CD4TCell-Th17-JunD/peaks.txt mm10 -size 4000 -hist 10 -d ../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 ../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20)	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 - Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 Coverage	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 + Tags	../tag-dirs/AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 - Tags
380	2.22358260913705	0.0096336229413537	0.0111306397954406	2.19885396736567	0.00980113277061464	0.0110216106238495	1.73475458273276	0.00769251601550657	0.00856151879244388	2.21449879613669	0.00976596739160177	0.0110794039207044	1.87786594472094	0.00842228698688434	0.00931291413488676
390	2.21099089120845	0.010053517912622	0.0111352038712153	2.18705465084491	0.00982832476423594	0.0110039042093984	1.72605112196928	0.00777400951307329	0.00861793736768237	2.20232269036953	0.00999268648098612	0.0110546864259971	1.86931484697691	0.00848846608561684	0.00930972478073098
400	2.19718388683098	0.00999760798438246	0.0112744081823423	2.17528137316893	0.00995290203733814	0.0110557587088622	1.7186443182756	0.00794404883011148	0.00869316213466698	2.1900096034125	0.0101392867944226	0.0108731406890089	1.85998550862302	0.00846295125237058	0.00949869401446112
410	2.18297853856194	0.0101870171290306	0.011227626405652	2.1615179837847	0.00979291193533379	0.0110273019713516	1.71147539051918	0.00814308102609175	0.00867827389953463	2.17886339325815	0.0101009320612561	0.0111177586538709	1.85094741368754	0.00879703610018885	0.00939344532732028
420	2.16934707556041	0.0100911715377629	0.0113953561903706	2.14956243419525	0.00990294465370833	0.0110620824283091	1.70404992988925	0.00797539248302176	0.00857483984493074	2.16561173148157	0.0099483654559937	0.0111723076077078	1.84030986719191	0.00856341590827774	0.00948115256660432
430	2.15455433884108	0.010179029996425	0.0112572928981873	2.13843268796886	0.0101767617057553	0.0110032718374537	1.69574292902121	0.00782180858376144	0.00871666987434971	2.15127944031815	0.00997308295070101	0.0108782546534311	1.82865535597294	0.00846932996068214	0.00925391108300477
440	2.13848555135042	0.0100706331967769	0.0111112424733983	2.12730294174247	0.00992760715955089	0.0108009128151557	1.68718872374777	0.0080184900057734	0.00864693024662437	2.14034631201472	0.0101017843886598	0.0109720106678381	1.81971752516512	0.00860248549668609	0.00893178631327069
450	2.12436797376935	0.00978195540403	0.0108294107943134	2.11368090608705	0.00980745649006145	0.0106156278353641	1.6780561534504	0.00780770393995184	0.0082143878364626	2.12733817235348	0.00978898023150169	0.0107290973577835	1.8140120188535	0.00856102389266091	0.00904261637018415
460	2.11378823007278	0.00984128838910052	0.0107871930933978	2.10172163666264	0.00948494679827402	0.0104587995930831	1.67208126961438	0.00770191911137964	0.00829979929064311	2.11523309386997	0.00974039756949075	0.0105782354073284	1.80691713820156	0.00842547634104013	0.00903464298479468
470	2.10062262687665	0.00967584064226926	0.0103912595199465	2.09115730535149	0.00955577245607832	0.0102817354485724	1.66541141490282	0.00784531632344416	0.00804669929339267	2.10401585643198	0.00971312309257234	0.0104239641472586	1.79773103431574	0.0082229523521479	0.00874281707954054
480	2.08782160961519	0.00937461164114202	0.0101094278408615	2.08033630542751	0.00937807593962289	0.0101539963157468	1.65876488136157	0.00751229001127256	0.00787117483709512	2.09259568389787	0.00935599791042178	0.0100353028511712	1.79153853081267	0.00817431470127221	0.00850042616370103
490	2.07641142017855	0.00907338264001477	0.00997364658656551	2.06967525840718	0.00904797778449927	0.00992697478760621	1.65339634795387	0.0073837810343404	0.00778576338291467	2.08330632987302	0.00921621621621488	0.0099441038189752	1.78603832723863	0.00815358389925962	0.00851717027301888
500	2.06617600764249	0.00900149844656395	0.00972376343790314	2.05966518250637	0.00911943581424825	0.00969995325946564	1.6483356539944	0.00731717577190606	0.00766195595391907	2.07250003600467	0.00907387753979689	0.00984011987572372	1.7792824348278	0.00788647548871279	0.0084493964972085
510	2.05511014936637	0.00882349949135239	0.00966443045283262	2.05093100999983	0.00893984218195878	0.0098365455995168	1.64486546385076	0.00746762530587537	0.00782729372302075	2.063200535225	0.00901762393115263	0.00970886145555383	1.77183901697021	0.00781710703582451	0.00847650600753265
520	2.04581995962387	0.00876758956311288	0.00950582881966335	2.0416016638983	0.00888356107888215	0.00970627697891246	1.63818628067107	0.00714948722883611	0.00783669681889382	2.05673705241361	0.00911478925517452	0.00993813752714929	1.76499240939627	0.00786733936377809	0.00834095845591187
530	2.03806238112523	0.00880866624508477	0.00982873718072022	2.0324583095452	0.00892403288334175	0.00986184047730404	1.63086343319054	0.00722941354375731	0.00789860053339159	2.04647360992738	0.0088147700090719	0.00995262709301221	1.75812670389325	0.00778282147864984	0.00825564323224467
540	2.0253693893259	0.00872765390008464	0.00975457094938206	2.02091938147226	0.00880135272607358	0.0097385279480912	1.6255135567191	0.00728661571031854	0.00778889774820565	2.03520563871536	0.00901677160374894	0.00992620494349748	1.75305142924116	0.0078083363118961	0.00841750295565067
550	2.01400646102894	0.00881208930191576	0.00976940419564969	2.01029925263658	0.00884308927442255	0.00995922575678495	1.62014968754546	0.00727486184047721	0.00781867421847041	2.02487624232289	0.0090994473619079	0.00987932693629394	1.74662020162463	0.00779637623381191	0.00845418052844217
560	2.00231945634561	0.00872194880536632	0.00987551895741043	1.99877892373848	0.00891012070055876	0.00981820681312104	1.61520559943759	0.00738534821698594	0.00797225811773075	2.01540424671153	0.0090951857248894	0.00997734458771952	1.73974972163934	0.0078569739627718	0.00864394710071127
570	1.98848544560261	0.0087789997525495	0.00994169805614292	1.9882071527574	0.00891201781639281	0.0100515520607084	1.60924004406969	0.00748799868026707	0.00801535564048235	2.00367459815583	0.00905086469989696	0.00986654202523844	1.73196731554065	0.00783145912952553	0.00861524291330922
580	1.97560340924455	0.00865919276346481	0.00993142888564996	1.97626276267286	0.00894996013307368	0.00997250556762326	1.6007464738391	0.00729993676280543	0.00802319155370995	1.99382717261665	0.00925968491380361	0.0100804762035673	1.72392231291715	0.0079598306342958	0.00855863187704406
590	1.96095245594425	0.00898210112452167	0.0101984273184673	1.96651679505483	0.00918140826482702	0.0101742322179766	1.5936521738277	0.00738926617359971	0.0079463996040798	1.98238670657293	0.00925542327678511	0.0100489400896304	1.71678446192479	0.00811212229523444	0.00854826647603777
600	1.94617997399907	0.00889424266585956	0.00999532594649513	1.95437525371695	0.00903280085782692	0.0100932886090574	1.5854571145772	0.00733676555497498	0.00797304170905352	1.97173261402667	0.00902103324076745	0.00994751312859	1.70921213304594	0.0080068736080936	0.00847012729922109
610	1.93196112254725	0.00899579335184563	0.00990974952572035	1.93990881552363	0.00872546809271183	0.0100515520607084	1.57817158096919	0.00729053366693232	0.00775050177339057	1.96211349047062	0.00913098347584482	0.00996029803964552	1.70048437945796	0.00786335267108336	0.00865590717879545
620	1.91743169789184	0.00877215363888752	0.0101596326743827	1.92687823362823	0.00883866267080978	0.00965821671111668	1.57158101823671	0.00728504852767302	0.00798244480492659	1.94953151451123	0.00889233180280866	0.00987847460889026	1.6923868575295	0.00794627587913372	0.0084302603722738
630	1.90183552179797	0.00874362816529593	0.00999874900332612	1.91598655683984	0.00878491105551187	0.00972588050919757	1.56440742624623	0.00725370487476277	0.00780535316598356	1.93922241162837	0.0089554040306825	0.00978983255890539	1.68391215150179	0.00779159220257824	0.00832820103928875
640	1.88613807183337	0.00856562921008438	0.00980249374501595	1.90560449744216	0.00869701135520118	0.00956019905969109	1.55611441808039	0.00705075472216875	0.00766273954524185	1.92762974426256	0.00861873470622077	0.00948640400318798	1.67729471907676	0.00773258915069626	0.008280360726952
650	1.87139934784509	0.00835339968656291	0.0093152786560715	1.893258365181	0.00851172637540957	0.00937870831156757	1.54897813996242	0.0071024717494707	0.00751385719391803	1.91795988693248	0.00868692089851681	0.00933468972532926	1.66955528331849	0.00775013059855306	0.00819823485744059
660	1.85839578284215	0.00823929779219652	0.00910419015149369	1.88241876608217	0.00841750295565207	0.00928195540403134	1.54316184008457	0.00693948475433729	0.0074942674108491	1.91073539751064	0.00869629649995751	0.00936963514888099	1.66102805798581	0.00743837122982527	0.00802919908718408
670	1.84795782256461	0.00816513156085838	0.00903230595804287	1.8727025571439	0.00833719171867755	0.009151686783427	1.53681381752343	0.00682272964724653	0.00739710208682726	1.90209036241596	0.00860254048555045	0.00904660306287846	1.65344140566015	0.00736581342278121	0.00790082758241382
680	1.83686495792296	0.00804418355283002	0.00891934508262016	1.8622870192315	0.00826952792059665	0.00899549091309073	1.52917846636061	0.00677257980259009	0.00736575843391699	1.89385119751352	0.00835025157405507	0.00913950674988183	1.6485762082279	0.00754043056281033	0.00784022985345393
690	1.82669706130072	0.00796088916994255	0.00889424266585955	1.85386159302737	0.00813609744026891	0.00902584476643543	1.52089945089695	0.00682899837782858	0.00715027082015886	1.88398855184212	0.00818575238514085	0.00908836710565979	1.64247919437022	0.00727491682934138	0.00777086140056565
700	1.81544215846588	0.00793692777212562	0.00897297297297235	1.84223710875014	0.00796851887492838	0.00896576943169071	1.51519509263665	0.0067145940447061	0.00724665255285797	1.87443030881491	0.00816955816447054	0.00906791124797098	1.63545115647005	0.00713299056940904	0.00775969866102041
710	1.8029584659994	0.00779087734733665	0.00868657721811274	1.83150166503043	0.00791856149129856	0.00885383959748213	1.5091455810556	0.00663545132110767	0.00737124357317628	1.8660693828548	0.00827268978031832	0.0089536993758751	1.62994140393146	0.0073203651260613	0.00788727282725174
720	1.79292560120482	0.00790155618487204	0.00874819224107059	1.82023800474517	0.00793879739352836	0.00886458992054171	1.50203728834201	0.00664798878227178	0.00738456462566315	1.85639952552472	0.00813802205053362	0.0089528470484714	1.62361044044259	0.0072820928761919	0.007912787660498
